fetch_date,fetch_time,page_date,page_time,currency_name,currency_code,tt_buying,bills_buying,currency_notes_buying,forex_card_buying,demand_draft_buying,tt_selling,bills_selling,currency_notes_selling,forex_card_selling,demand_draft_selling
2026-08-24,22:53:17,24-08-2026,09:17:03 AM,Australian Dollar,AUD,66.92,66.92,66.13,66.78,null,70.96,70.96,70.96,70.3,70.31
2026-08-24,23:05:57,24-08-2026,09:17:03 AM,Australian Dollar,AUD,66.92,66.92,66.13,66.78,null,70.96,70.96,70.96,70.3,70.31
2026-08-25,10:35:56,25-08-2026,09:16:29 AM,Australian Dollar,AUD,66.88,66.88,66.09,66.74,null,70.91,70.91,70.91,70.26,70.26
2026-08-26,10:35:51,25-08-2026,09:16:29 AM,Australian Dollar,AUD,66.88,66.88,66.09,66.74,null,70.91,70.91,70.91,70.26,70.26
2026-08-27,19:08:53,27-08-2026,09:17:48 AM,Australian Dollar,AUD,66.92,66.92,66.13,66.78,null,70.97,70.97,70.97,70.32,70.32
2026-08-28,22:20:27,28-08-2026,09:15:50 AM,Australian Dollar,AUD,67.07,67.07,66.28,66.94,null,71.23,71.23,71.23,70.58,70.59
2026-08-29,16:47:55,28-08-2026,09:15:50 AM,Australian Dollar,AUD,67.07,67.07,66.28,66.94,null,71.23,71.23,71.23,70.58,70.59
2026-08-31,16:33:28,31-08-2026,09:17:14 AM,Australian Dollar,AUD,66.78,66.78,65.99,66.64,null,70.82,70.82,70.82,70.17,70.18
2026-09-01,15:02:41,01-09-2026,09:13:42 AM,Australian Dollar,AUD,66.48,66.48,65.7,66.35,null,70.49,70.49,70.49,69.84,69.85
2026-09-02,14:26:59,02-09-2026,09:12:35 AM,Australian Dollar,AUD,66.18,66.18,65.4,66.05,null,70.17,70.17,70.17,69.53,69.53
2026-09-03,14:35:27,03-09-2026,01:09:29 PM,Australian Dollar,AUD,66.13,66.13,65.35,65.99,null,70.11,70.11,70.11,69.47,69.48
2026-09-04,14:28:49,04-09-2026,09:13:44 AM,Australian Dollar,AUD,66.47,66.47,65.69,66.33,null,70.48,70.48,70.48,69.83,69.84
2026-09-05,14:00:06,04-09-2026,09:13:44 AM,Australian Dollar,AUD,66.47,66.47,65.69,66.33,null,70.48,70.48,70.48,69.83,69.84
