fetch_date,fetch_time,page_date,page_time,currency_name,currency_code,tt_buying,bills_buying,currency_notes_buying,forex_card_buying,demand_draft_buying,tt_selling,bills_selling,currency_notes_selling,forex_card_selling,demand_draft_selling
2026-08-24,22:53:17,24-08-2026,09:17:03 AM,Bahraini Dinar,BHD,245.77,245.77,,,,261.61,261.61,,,
2026-08-24,23:05:57,24-08-2026,09:17:03 AM,Bahraini Dinar,BHD,245.77,245.77,,,,261.61,261.61,,,
2026-08-25,10:35:56,25-08-2026,09:16:29 AM,Bahraini Dinar,BHD,245.94,245.94,,,,261.8,261.8,,,
2026-08-26,10:35:51,25-08-2026,09:16:29 AM,Bahraini Dinar,BHD,245.94,245.94,,,,261.8,261.8,,,
2026-08-27,19:08:53,27-08-2026,09:17:48 AM,Bahraini Dinar,BHD,245.13,245.13,,,,261.21,261.21,,,
2026-08-28,22:20:27,28-08-2026,09:15:50 AM,Bahraini Dinar,BHD,245.05,245.05,,,,261.35,261.35,,,
2026-08-29,16:47:55,28-08-2026,09:15:50 AM,Bahraini Dinar,BHD,245.05,245.05,,,,261.35,261.35,,,
2026-08-31,16:33:28,31-08-2026,09:17:14 AM,Bahraini Dinar,BHD,245.24,245.24,,,,261.1,261.1,,,
2026-09-01,15:02:41,01-09-2026,09:13:42 AM,Bahraini Dinar,BHD,243.95,243.95,,,,259.82,259.82,,,
2026-09-02,14:26:59,02-09-2026,09:12:35 AM,Bahraini Dinar,BHD,243.88,243.88,,,,259.79,259.79,,,
2026-09-03,14:35:27,03-09-2026,01:09:29 PM,Bahraini Dinar,BHD,242.68,242.68,,,,258.35,258.35,,,
2026-09-04,14:28:49,04-09-2026,09:13:44 AM,Bahraini Dinar,BHD,242.68,242.68,,,,258.43,258.43,,,
2026-09-05,14:00:06,04-09-2026,09:13:44 AM,Bahraini Dinar,BHD,242.68,242.68,,,,258.43,258.43,,,
2026-09-07,15:05:19,07-09-2026,02:17:57 PM,Bahraini Dinar,BHD,242.7,242.7,,,,258.34,258.34,,,
2026-09-08,14:29:30,08-09-2026,09:14:06 AM,Bahraini Dinar,BHD,242.94,242.94,,,,258.74,258.74,,,
2026-09-09,14:35:16,09-09-2026,09:15:18 AM,Bahraini Dinar,BHD,243.69,243.69,,,,259.52,259.52,,,
2026-09-10,14:34:22,10-09-2026,09:15:21 AM,Bahraini Dinar,BHD,244.75,244.75,,,,260.71,260.71,,,
2026-09-11,14:31:57,11-09-2026,09:18:39 AM,Bahraini Dinar,BHD,246.0,246.0,,,,261.88,261.88,,,
2026-09-12,14:15:45,11-09-2026,09:18:39 AM,Bahraini Dinar,BHD,246.0,246.0,,,,261.88,261.88,,,
2026-09-14,15:33:18,11-09-2026,09:18:39 AM,Bahraini Dinar,BHD,246.0,246.0,,,,261.88,261.88,,,
2026-09-15,15:02:42,15-09-2026,09:12:12 AM,Bahraini Dinar,BHD,246.12,246.12,,,,262.04,262.04,,,
2026-09-16,14:55:50,16-09-2026,09:14:47 AM,Bahraini Dinar,BHD,246.28,246.28,,,,262.35,262.35,,,
2026-09-17,15:05:34,17-09-2026,09:30:09 AM,Bahraini Dinar,BHD,246.76,246.76,,,,262.9,262.9,,,
2026-09-18,14:37:54,18-09-2026,09:17:02 AM,Bahraini Dinar,BHD,245.8,245.8,,,,261.91,261.91,,,
2026-09-19,14:24:41,18-09-2026,09:17:02 AM,Bahraini Dinar,BHD,245.8,245.8,,,,261.91,261.91,,,
2026-09-21,15:38:34,21-09-2026,09:11:22 AM,Bahraini Dinar,BHD,246.22,246.22,,,,262.21,262.21,,,
2026-09-22,14:55:32,22-09-2026,09:15:47 AM,Bahraini Dinar,BHD,245.8,245.8,,,,261.65,261.65,,,
2026-09-23,14:56:17,23-09-2026,09:14:07 AM,Bahraini Dinar,BHD,245.7,245.7,,,,261.53,261.53,,,
2026-09-24,14:56:27,24-09-2026,09:15:17 AM,Bahraini Dinar,BHD,246.18,246.18,,,,262.33,262.33,,,
2026-09-25,15:14:06,25-09-2026,09:13:49 AM,Bahraini Dinar,BHD,246.37,246.37,,,,262.44,262.44,,,
2026-09-26,14:58:28,25-09-2026,09:13:49 AM,Bahraini Dinar,BHD,246.37,246.37,,,,262.44,262.44,,,
