fetch_date,fetch_time,page_date,page_time,currency_name,currency_code,tt_buying,bills_buying,currency_notes_buying,forex_card_buying,demand_draft_buying,tt_selling,bills_selling,currency_notes_selling,forex_card_selling,demand_draft_selling
2026-08-24,22:53:17,24-08-2026,09:17:03 AM,Canadian Dollar,CAD,67.54,67.54,66.91,67.57,null,71.27,71.27,71.79,71.13,71.13
2026-08-24,23:05:57,24-08-2026,09:17:03 AM,Canadian Dollar,CAD,67.54,67.54,66.91,67.57,null,71.27,71.27,71.79,71.13,71.13
2026-08-25,10:35:56,25-08-2026,09:16:29 AM,Canadian Dollar,CAD,67.29,67.29,66.67,67.33,null,71.02,71.02,71.54,70.88,70.88
2026-08-26,10:35:51,25-08-2026,09:16:29 AM,Canadian Dollar,CAD,67.29,67.29,66.67,67.33,null,71.02,71.02,71.54,70.88,70.88
2026-08-27,19:08:53,27-08-2026,09:17:48 AM,Canadian Dollar,CAD,66.94,66.94,66.32,66.97,null,70.65,70.65,71.17,70.52,70.52
2026-08-28,22:20:27,28-08-2026,09:15:50 AM,Canadian Dollar,CAD,67.06,67.06,66.44,67.09,null,70.88,70.88,71.4,70.74,70.74
2026-08-29,16:47:55,28-08-2026,09:15:50 AM,Canadian Dollar,CAD,67.06,67.06,66.44,67.09,null,70.88,70.88,71.4,70.74,70.74
2026-08-31,16:33:28,31-08-2026,09:17:14 AM,Canadian Dollar,CAD,66.9,66.9,66.28,66.94,null,70.62,70.62,71.13,70.48,70.48
2026-09-01,15:02:41,01-09-2026,09:13:42 AM,Canadian Dollar,CAD,66.7,66.7,66.09,66.74,null,70.39,70.39,70.91,70.26,70.26
2026-09-02,14:26:59,02-09-2026,09:12:35 AM,Canadian Dollar,CAD,66.45,66.45,65.84,66.48,null,70.11,70.11,70.63,69.98,69.98
2026-09-03,14:35:27,03-09-2026,01:09:29 PM,Canadian Dollar,CAD,66.53,66.53,65.92,66.57,null,70.21,70.21,70.72,70.07,70.07
2026-09-04,14:28:49,04-09-2026,09:13:44 AM,Canadian Dollar,CAD,66.7,66.7,66.09,66.74,null,70.39,70.39,70.9,70.25,70.25
2026-09-05,14:00:06,04-09-2026,09:13:44 AM,Canadian Dollar,CAD,66.7,66.7,66.09,66.74,null,70.39,70.39,70.9,70.25,70.25
