fetch_date,fetch_time,page_date,page_time,currency_name,currency_code,tt_buying,bills_buying,currency_notes_buying,forex_card_buying,demand_draft_buying,tt_selling,bills_selling,currency_notes_selling,forex_card_selling,demand_draft_selling
2026-08-24,22:53:17,24-08-2026,09:17:03 AM,Swiss Franc,CHF,116.7,116.7,116.52,116.64,,122.43,122.43,122.55,122.07,
2026-08-24,23:05:57,24-08-2026,09:17:03 AM,Swiss Franc,CHF,116.7,116.7,116.52,116.64,,122.43,122.43,122.55,122.07,
2026-08-25,10:35:56,25-08-2026,09:16:29 AM,Swiss Franc,CHF,116.31,116.31,116.13,116.25,,122.02,122.02,122.14,121.66,
2026-08-26,10:35:51,25-08-2026,09:16:29 AM,Swiss Franc,CHF,116.31,116.31,116.13,116.25,,122.02,122.02,122.14,121.66,
2026-08-27,19:08:53,27-08-2026,09:17:48 AM,Swiss Franc,CHF,115.66,115.66,115.49,115.6,,121.36,121.36,121.48,121.0,
2026-08-28,22:20:27,28-08-2026,09:15:50 AM,Swiss Franc,CHF,115.74,115.74,115.56,115.68,,121.61,121.61,121.73,121.25,
2026-08-29,16:47:55,28-08-2026,09:15:50 AM,Swiss Franc,CHF,115.74,115.74,115.56,115.68,,121.61,121.61,121.73,121.25,
2026-08-31,16:33:28,31-08-2026,09:17:14 AM,Swiss Franc,CHF,115.17,115.17,114.99,115.11,,120.86,120.86,120.98,120.5,
2026-09-01,15:02:41,01-09-2026,09:13:42 AM,Swiss Franc,CHF,114.52,114.52,114.35,114.46,,120.13,120.13,120.25,119.78,
2026-09-02,14:26:59,02-09-2026,09:12:35 AM,Swiss Franc,CHF,114.01,114.01,113.84,113.95,,119.6,119.6,119.72,119.25,
2026-09-03,14:35:27,03-09-2026,01:09:29 PM,Swiss Franc,CHF,113.96,113.96,113.78,113.9,,119.55,119.55,119.66,119.2,
