fetch_date,fetch_time,page_date,page_time,currency_name,currency_code,tt_buying,bills_buying,currency_notes_buying,forex_card_buying,demand_draft_buying,tt_selling,bills_selling,currency_notes_selling,forex_card_selling,demand_draft_selling
2026-08-24,22:53:17,24-08-2026,09:17:03 AM,Chinese Yuan,CNH,13.58,13.58,,,,14.87,14.87,,,
2026-08-24,23:05:57,24-08-2026,09:17:03 AM,Chinese Yuan,CNH,13.58,13.58,,,,14.87,14.87,,,
2026-08-25,10:35:56,25-08-2026,09:16:29 AM,Chinese Yuan,CNH,13.59,13.59,,,,14.88,14.88,,,
2026-08-26,10:35:51,25-08-2026,09:16:29 AM,Chinese Yuan,CNH,13.59,13.59,,,,14.88,14.88,,,
2026-08-27,19:08:53,27-08-2026,09:17:48 AM,Chinese Yuan,CNH,13.56,13.56,,,,14.84,14.84,,,
2026-08-28,22:20:27,28-08-2026,09:15:50 AM,Chinese Yuan,CNH,13.55,13.55,,,,14.86,14.86,,,
2026-08-29,16:47:55,28-08-2026,09:15:50 AM,Chinese Yuan,CNH,13.55,13.55,,,,14.86,14.86,,,
2026-08-31,16:33:28,31-08-2026,09:17:14 AM,Chinese Yuan,CNH,13.56,13.56,,,,14.84,14.84,,,
2026-09-01,15:02:41,01-09-2026,09:13:42 AM,Chinese Yuan,CNH,13.49,13.49,,,,14.77,14.77,,,
2026-09-02,14:26:59,02-09-2026,09:12:35 AM,Chinese Yuan,CNH,13.48,13.48,,,,14.76,14.76,,,
2026-09-03,14:35:27,03-09-2026,01:09:29 PM,Chinese Yuan,CNH,13.43,13.43,,,,14.7,14.7,,,
