fetch_date,fetch_time,page_date,page_time,currency_name,currency_code,tt_buying,bills_buying,currency_notes_buying,forex_card_buying,demand_draft_buying,tt_selling,bills_selling,currency_notes_selling,forex_card_selling,demand_draft_selling
2026-08-24,22:53:17,24-08-2026,09:17:03 AM,Great Britain Pound,GBP,127.27,127.27,127.4,127.53,null,133.96,133.96,133.7,133.11,133.05
2026-08-24,23:05:57,24-08-2026,09:17:03 AM,Great Britain Pound,GBP,127.27,127.27,127.4,127.53,null,133.96,133.96,133.7,133.11,133.05
2026-08-25,10:35:56,25-08-2026,09:16:29 AM,Great Britain Pound,GBP,127.19,127.19,127.32,127.45,null,133.89,133.89,133.62,133.04,132.97
2026-08-26,10:35:51,25-08-2026,09:16:29 AM,Great Britain Pound,GBP,127.19,127.19,127.32,127.45,null,133.89,133.89,133.62,133.04,132.97
2026-08-27,19:08:53,27-08-2026,09:17:48 AM,Great Britain Pound,GBP,126.42,126.42,126.55,126.68,null,133.1,133.1,132.84,132.26,132.2
2026-08-28,22:20:27,28-08-2026,09:15:50 AM,Great Britain Pound,GBP,126.38,126.38,126.51,126.64,null,133.25,133.25,132.99,132.4,132.34
2026-08-29,16:47:55,28-08-2026,09:15:50 AM,Great Britain Pound,GBP,126.38,126.38,126.51,126.64,null,133.25,133.25,132.99,132.4,132.34
2026-08-31,16:33:28,31-08-2026,09:17:14 AM,Great Britain Pound,GBP,126.0,126.0,126.12,126.25,null,132.66,132.66,132.4,131.82,131.76
2026-09-01,15:02:41,01-09-2026,09:13:42 AM,Great Britain Pound,GBP,125.38,125.38,125.51,125.64,null,131.98,131.98,131.72,131.14,131.08
2026-09-02,14:26:59,02-09-2026,09:12:35 AM,Great Britain Pound,GBP,124.97,124.97,125.1,125.23,null,131.54,131.54,131.28,130.71,130.64
2026-09-03,14:35:27,03-09-2026,01:09:29 PM,Great Britain Pound,GBP,124.26,124.26,124.38,124.51,null,130.8,130.8,130.55,129.97,129.91
2026-09-04,14:28:49,04-09-2026,09:13:44 AM,Great Britain Pound,GBP,124.6,124.6,124.73,124.86,null,131.16,131.16,130.9,130.33,130.26
2026-09-05,14:00:06,04-09-2026,09:13:44 AM,Great Britain Pound,GBP,124.6,124.6,124.73,124.86,null,131.16,131.16,130.9,130.33,130.26
