fetch_date,fetch_time,page_date,page_time,currency_name,currency_code,tt_buying,bills_buying,currency_notes_buying,forex_card_buying,demand_draft_buying,tt_selling,bills_selling,currency_notes_selling,forex_card_selling,demand_draft_selling
2026-08-24,22:53:17,24-08-2026,09:17:03 AM,Hong Kong Dollar,HKD,11.85,11.85,11.47,11.81,,12.56,12.56,12.94,12.59,
2026-08-24,23:05:57,24-08-2026,09:17:03 AM,Hong Kong Dollar,HKD,11.85,11.85,11.47,11.81,,12.56,12.56,12.94,12.59,
2026-08-25,10:35:56,25-08-2026,09:16:29 AM,Hong Kong Dollar,HKD,11.85,11.85,11.48,11.82,,12.57,12.57,12.94,12.6,
2026-08-26,10:35:51,25-08-2026,09:16:29 AM,Hong Kong Dollar,HKD,11.85,11.85,11.48,11.82,,12.57,12.57,12.94,12.6,
2026-08-27,19:08:53,27-08-2026,09:17:48 AM,Hong Kong Dollar,HKD,11.82,11.82,11.44,11.78,,12.53,12.53,12.91,12.57,
2026-08-28,22:20:27,28-08-2026,09:15:50 AM,Hong Kong Dollar,HKD,11.81,11.81,11.43,11.77,,12.54,12.54,12.92,12.58,
2026-08-29,16:47:55,28-08-2026,09:15:50 AM,Hong Kong Dollar,HKD,11.81,11.81,11.43,11.77,,12.54,12.54,12.92,12.58,
2026-08-31,16:33:28,31-08-2026,09:17:14 AM,Hong Kong Dollar,HKD,11.82,11.82,11.44,11.78,,12.53,12.53,12.91,12.57,
2026-09-01,15:02:41,01-09-2026,09:13:42 AM,Hong Kong Dollar,HKD,11.76,11.76,11.39,11.73,,12.47,12.47,12.84,12.5,
2026-09-02,14:26:59,02-09-2026,09:12:35 AM,Hong Kong Dollar,HKD,11.76,11.76,11.38,11.72,,12.46,12.46,12.84,12.5,
2026-09-03,14:35:27,03-09-2026,01:09:29 PM,Hong Kong Dollar,HKD,11.7,11.7,11.32,11.66,,12.4,12.4,12.77,12.43,
