fetch_date,fetch_time,page_date,page_time,currency_name,currency_code,tt_buying,bills_buying,currency_notes_buying,forex_card_buying,demand_draft_buying,tt_selling,bills_selling,currency_notes_selling,forex_card_selling,demand_draft_selling
2026-08-24,22:53:17,24-08-2026,09:17:03 AM,Japanese Yen,JPY,58.56,58.56,57.47,58.56,,62.0,62.0,62.91,61.13,
2026-08-24,23:05:57,24-08-2026,09:17:03 AM,Japanese Yen,JPY,58.56,58.56,57.47,58.56,,62.0,62.0,62.91,61.13,
2026-08-25,10:35:56,25-08-2026,09:16:29 AM,Japanese Yen,JPY,58.43,58.43,57.35,58.43,,61.87,61.87,62.77,61.0,
2026-08-26,10:35:51,25-08-2026,09:16:29 AM,Japanese Yen,JPY,58.43,58.43,57.35,58.43,,61.87,61.87,62.77,61.0,
2026-08-27,19:08:53,27-08-2026,09:17:48 AM,Japanese Yen,JPY,58.25,58.25,57.18,58.25,,61.7,61.7,62.6,60.83,
2026-08-28,22:20:27,28-08-2026,09:15:50 AM,Japanese Yen,JPY,58.18,58.18,57.11,58.18,,61.72,61.72,62.62,60.85,
2026-08-29,16:47:55,28-08-2026,09:15:50 AM,Japanese Yen,JPY,58.18,58.18,57.11,58.18,,61.72,61.72,62.62,60.85,
2026-08-31,16:33:28,31-08-2026,09:17:14 AM,Japanese Yen,JPY,58.08,58.08,57.01,58.08,,61.53,61.53,62.42,60.66,
2026-09-01,15:02:41,01-09-2026,09:13:42 AM,Japanese Yen,JPY,57.82,57.82,56.75,57.82,,61.22,61.22,62.11,60.36,
2026-09-02,14:26:59,02-09-2026,09:12:35 AM,Japanese Yen,JPY,57.63,57.63,56.56,57.63,,61.03,61.03,61.92,60.17,
2026-09-03,14:35:27,03-09-2026,01:09:29 PM,Japanese Yen,JPY,58.61,58.61,57.53,58.61,,62.06,62.06,62.97,61.19,
2026-09-04,14:28:49,04-09-2026,09:13:44 AM,Japanese Yen,JPY,58.86,58.86,57.78,58.86,,62.33,62.33,63.24,61.45,
2026-09-05,14:00:06,04-09-2026,09:13:44 AM,Japanese Yen,JPY,58.86,58.86,57.78,58.86,,62.33,62.33,63.24,61.45,
