fetch_date,fetch_time,page_date,page_time,currency_name,currency_code,tt_buying,bills_buying,currency_notes_buying,forex_card_buying,demand_draft_buying,tt_selling,bills_selling,currency_notes_selling,forex_card_selling,demand_draft_selling
2026-08-24,22:53:17,24-08-2026,09:17:03 AM,Kuwaiti Dinar,KWD,297.72,297.72,283.69,,,324.39,324.39,330.31,,
2026-08-24,23:05:57,24-08-2026,09:17:03 AM,Kuwaiti Dinar,KWD,297.72,297.72,283.69,,,324.39,324.39,330.31,,
2026-08-25,10:35:56,25-08-2026,09:16:29 AM,Kuwaiti Dinar,KWD,297.93,297.93,283.89,,,324.62,324.62,330.55,,
2026-08-26,10:35:51,25-08-2026,09:16:29 AM,Kuwaiti Dinar,KWD,297.93,297.93,283.89,,,324.62,324.62,330.55,,
2026-08-27,19:08:53,27-08-2026,09:17:48 AM,Kuwaiti Dinar,KWD,296.93,296.93,282.94,,,323.61,323.61,329.52,,
2026-08-28,22:20:27,28-08-2026,09:15:50 AM,Kuwaiti Dinar,KWD,296.75,296.75,282.77,,,323.87,323.87,329.79,,
2026-08-29,16:47:55,28-08-2026,09:15:50 AM,Kuwaiti Dinar,KWD,296.75,296.75,282.77,,,323.87,323.87,329.79,,
2026-08-31,16:33:28,31-08-2026,09:17:14 AM,Kuwaiti Dinar,KWD,296.64,296.64,282.66,,,323.31,323.31,329.22,,
2026-09-01,15:02:41,01-09-2026,09:13:42 AM,Kuwaiti Dinar,KWD,295.2,295.2,281.29,,,321.65,321.65,327.53,,
2026-09-02,14:26:59,02-09-2026,09:12:35 AM,Kuwaiti Dinar,KWD,295.12,295.12,281.21,,,321.54,321.54,327.41,,
