fetch_date,fetch_time,page_date,page_time,currency_name,currency_code,tt_buying,bills_buying,currency_notes_buying,forex_card_buying,demand_draft_buying,tt_selling,bills_selling,currency_notes_selling,forex_card_selling,demand_draft_selling
2026-08-24,22:53:17,24-08-2026,09:17:03 AM,Norwegian Kroner,NOK,9.89,9.89,,,,10.69,10.69,,,
2026-08-24,23:05:57,24-08-2026,09:17:03 AM,Norwegian Kroner,NOK,9.89,9.89,,,,10.69,10.69,,,
2026-08-25,10:35:56,25-08-2026,09:16:29 AM,Norwegian Kroner,NOK,9.9,9.9,,,,10.71,10.71,,,
2026-08-26,10:35:51,25-08-2026,09:16:29 AM,Norwegian Kroner,NOK,9.9,9.9,,,,10.71,10.71,,,
2026-08-27,19:08:53,27-08-2026,09:17:48 AM,Norwegian Kroner,NOK,9.82,9.82,,,,10.62,10.62,,,
2026-08-28,22:20:27,28-08-2026,09:15:50 AM,Norwegian Kroner,NOK,9.84,9.84,,,,10.66,10.66,,,
2026-08-29,16:47:55,28-08-2026,09:15:50 AM,Norwegian Kroner,NOK,9.84,9.84,,,,10.66,10.66,,,
2026-08-31,16:33:28,31-08-2026,09:17:14 AM,Norwegian Kroner,NOK,9.81,9.81,,,,10.61,10.61,,,
2026-09-01,15:02:41,01-09-2026,09:13:42 AM,Norwegian Kroner,NOK,9.78,9.78,,,,10.57,10.57,,,
2026-09-02,14:26:59,02-09-2026,09:12:35 AM,Norwegian Kroner,NOK,9.78,9.78,,,,10.58,10.58,,,
2026-09-03,14:35:27,03-09-2026,01:09:29 PM,Norwegian Kroner,NOK,9.77,9.77,,,,10.56,10.56,,,
2026-09-04,14:28:49,04-09-2026,09:13:44 AM,Norwegian Kroner,NOK,9.78,9.78,,,,10.58,10.58,,,
2026-09-05,14:00:06,04-09-2026,09:13:44 AM,Norwegian Kroner,NOK,9.78,9.78,,,,10.58,10.58,,,
