fetch_date,fetch_time,page_date,page_time,currency_name,currency_code,tt_buying,bills_buying,currency_notes_buying,forex_card_buying,demand_draft_buying,tt_selling,bills_selling,currency_notes_selling,forex_card_selling,demand_draft_selling
2026-08-24,22:53:17,24-08-2026,09:17:03 AM,Poland Zloty,PLN,24.91,24.91,,,,26.76,26.76,,,
2026-08-24,23:05:57,24-08-2026,09:17:03 AM,Poland Zloty,PLN,24.91,24.91,,,,26.76,26.76,,,
2026-08-25,10:35:56,25-08-2026,09:16:29 AM,Poland Zloty,PLN,24.94,24.94,,,,26.8,26.8,,,
2026-08-26,10:35:51,25-08-2026,09:16:29 AM,Poland Zloty,PLN,24.94,24.94,,,,26.8,26.8,,,
2026-08-27,19:08:53,27-08-2026,09:17:48 AM,Poland Zloty,PLN,24.81,24.81,,,,26.66,26.66,,,
2026-08-28,22:20:27,28-08-2026,09:15:50 AM,Poland Zloty,PLN,24.66,24.66,,,,26.53,26.53,,,
2026-08-29,16:47:55,28-08-2026,09:15:50 AM,Poland Zloty,PLN,24.66,24.66,,,,26.53,26.53,,,
2026-08-31,16:33:28,31-08-2026,09:17:14 AM,Poland Zloty,PLN,24.5,24.5,,,,26.34,26.34,,,
2026-09-01,15:02:41,01-09-2026,09:13:42 AM,Poland Zloty,PLN,24.51,24.51,,,,26.33,26.33,,,
2026-09-02,14:26:59,02-09-2026,09:12:35 AM,Poland Zloty,PLN,24.38,24.38,,,,26.2,26.2,,,
2026-09-03,14:35:27,03-09-2026,01:09:29 PM,Poland Zloty,PLN,24.36,24.36,,,,26.18,26.18,,,
2026-09-04,14:28:49,04-09-2026,09:13:44 AM,Poland Zloty,PLN,24.46,24.46,,,,26.28,26.28,,,
2026-09-05,14:00:06,04-09-2026,09:13:44 AM,Poland Zloty,PLN,24.46,24.46,,,,26.28,26.28,,,
2026-09-07,15:05:19,07-09-2026,02:17:57 PM,Poland Zloty,PLN,24.52,24.52,,,,26.34,26.34,,,
2026-09-08,14:29:30,08-09-2026,09:14:06 AM,Poland Zloty,PLN,24.55,24.55,,,,26.37,26.37,,,
2026-09-09,14:35:16,09-09-2026,09:15:18 AM,Poland Zloty,PLN,24.61,24.61,,,,26.44,26.44,,,
2026-09-10,14:34:22,10-09-2026,09:15:21 AM,Poland Zloty,PLN,24.72,24.72,,,,26.56,26.56,,,
2026-09-11,14:31:57,11-09-2026,09:18:39 AM,Poland Zloty,PLN,24.7,24.7,,,,26.55,26.55,,,
