fetch_date,fetch_time,page_date,page_time,currency_name,currency_code,tt_buying,bills_buying,currency_notes_buying,forex_card_buying,demand_draft_buying,tt_selling,bills_selling,currency_notes_selling,forex_card_selling,demand_draft_selling
2026-08-24,22:53:17,24-08-2026,09:17:03 AM,Saudi Riyal,SAR,24.71,24.71,24.55,24.62,,26.27,26.27,26.42,26.34,
2026-08-24,23:05:57,24-08-2026,09:17:03 AM,Saudi Riyal,SAR,24.71,24.71,24.55,24.62,,26.27,26.27,26.42,26.34,
2026-08-25,10:35:56,25-08-2026,09:16:29 AM,Saudi Riyal,SAR,24.73,24.73,24.56,24.64,,26.29,26.29,26.44,26.36,
2026-08-26,10:35:51,25-08-2026,09:16:29 AM,Saudi Riyal,SAR,24.73,24.73,24.56,24.64,,26.29,26.29,26.44,26.36,
2026-08-27,19:08:53,27-08-2026,09:17:48 AM,Saudi Riyal,SAR,24.65,24.65,24.49,24.57,,26.21,26.21,26.37,26.29,
2026-08-28,22:20:27,28-08-2026,09:15:50 AM,Saudi Riyal,SAR,24.64,24.64,24.48,24.55,,26.23,26.23,26.39,26.31,
2026-08-29,16:47:55,28-08-2026,09:15:50 AM,Saudi Riyal,SAR,24.64,24.64,24.48,24.55,,26.23,26.23,26.39,26.31,
2026-08-31,16:33:28,31-08-2026,09:17:14 AM,Saudi Riyal,SAR,24.66,24.66,24.49,24.57,,26.21,26.21,26.37,26.29,
2026-09-01,15:02:41,01-09-2026,09:13:42 AM,Saudi Riyal,SAR,24.54,24.54,24.37,24.45,,26.08,26.08,26.23,26.16,
2026-09-02,14:26:59,02-09-2026,09:12:35 AM,Saudi Riyal,SAR,24.53,24.53,24.36,24.44,,26.07,26.07,26.22,26.15,
2026-09-03,14:35:27,03-09-2026,01:09:29 PM,Saudi Riyal,SAR,24.4,24.4,24.24,24.31,,25.94,25.94,26.09,26.02,
2026-09-04,14:28:49,04-09-2026,09:13:44 AM,Saudi Riyal,SAR,24.41,24.41,24.24,24.32,,25.94,25.94,26.09,26.02,
2026-09-05,14:00:06,04-09-2026,09:13:44 AM,Saudi Riyal,SAR,24.41,24.41,24.24,24.32,,25.94,25.94,26.09,26.02,
