fetch_date,fetch_time,page_date,page_time,currency_name,currency_code,tt_buying,bills_buying,currency_notes_buying,forex_card_buying,demand_draft_buying,tt_selling,bills_selling,currency_notes_selling,forex_card_selling,demand_draft_selling
2026-08-24,22:53:17,24-08-2026,09:17:03 AM,Swedish Kronor,SEK,9.75,9.75,,9.75,,10.5,10.5,,10.45,
2026-08-24,23:05:57,24-08-2026,09:17:03 AM,Swedish Kronor,SEK,9.75,9.75,,9.75,,10.5,10.5,,10.45,
2026-08-25,10:35:56,25-08-2026,09:16:29 AM,Swedish Kronor,SEK,9.73,9.73,,9.73,,10.48,10.48,,10.43,
2026-08-26,10:35:51,25-08-2026,09:16:29 AM,Swedish Kronor,SEK,9.73,9.73,,9.73,,10.48,10.48,,10.43,
2026-08-27,19:08:53,27-08-2026,09:17:48 AM,Swedish Kronor,SEK,9.67,9.67,,9.67,,10.42,10.42,,10.37,
2026-08-28,22:20:27,28-08-2026,09:15:50 AM,Swedish Kronor,SEK,9.67,9.67,,9.67,,10.44,10.44,,10.39,
2026-08-29,16:47:55,28-08-2026,09:15:50 AM,Swedish Kronor,SEK,9.67,9.67,,9.67,,10.44,10.44,,10.39,
2026-08-31,16:33:28,31-08-2026,09:17:14 AM,Swedish Kronor,SEK,9.59,9.59,,9.59,,10.34,10.34,,10.29,
2026-09-01,15:02:41,01-09-2026,09:13:42 AM,Swedish Kronor,SEK,9.56,9.56,,9.56,,10.3,10.3,,10.25,
2026-09-02,14:26:59,02-09-2026,09:12:35 AM,Swedish Kronor,SEK,9.51,9.51,,9.51,,10.25,10.25,,10.2,
2026-09-03,14:35:27,03-09-2026,01:09:29 PM,Swedish Kronor,SEK,9.5,9.5,,9.5,,10.24,10.24,,10.19,
2026-09-04,14:28:49,04-09-2026,09:13:44 AM,Swedish Kronor,SEK,9.57,9.57,,9.57,,10.31,10.31,,10.26,
2026-09-05,14:00:06,04-09-2026,09:13:44 AM,Swedish Kronor,SEK,9.57,9.57,,9.57,,10.31,10.31,,10.26,
