fetch_date,fetch_time,page_date,page_time,currency_name,currency_code,tt_buying,bills_buying,currency_notes_buying,forex_card_buying,demand_draft_buying,tt_selling,bills_selling,currency_notes_selling,forex_card_selling,demand_draft_selling
2026-08-24,22:53:17,24-08-2026,09:17:03 AM,United States Dollar,USD,93.97,93.97,93.73,93.54,null,97.1,97.1,97.58,97.48,97.34
2026-08-24,23:05:57,24-08-2026,09:17:03 AM,United States Dollar,USD,93.97,93.97,93.73,93.54,null,97.1,97.1,97.58,97.48,97.34
2026-08-25,10:35:56,25-08-2026,09:16:29 AM,United States Dollar,USD,94.04,94.04,93.8,93.61,null,97.17,97.17,97.65,97.55,97.41
2026-08-26,10:35:51,25-08-2026,09:16:29 AM,United States Dollar,USD,94.04,94.04,93.8,93.61,null,97.17,97.17,97.65,97.55,97.41
2026-08-27,19:08:53,27-08-2026,09:17:48 AM,United States Dollar,USD,93.75,93.75,93.51,93.32,null,96.9,96.9,97.37,97.28,97.13
2026-08-28,22:20:27,28-08-2026,09:15:50 AM,United States Dollar,USD,93.7,93.7,93.46,93.27,null,96.98,96.98,97.45,97.36,97.21
2026-08-29,16:47:55,28-08-2026,09:15:50 AM,United States Dollar,USD,93.7,93.7,93.46,93.27,null,96.98,96.98,97.45,97.36,97.21
2026-08-31,16:33:28,31-08-2026,09:17:14 AM,United States Dollar,USD,93.75,93.75,93.51,93.32,null,96.9,96.9,97.38,97.28,97.14
2026-09-01,15:02:41,01-09-2026,09:13:42 AM,United States Dollar,USD,93.39,93.39,93.06,92.87,null,96.31,96.31,96.88,96.78,96.64
2026-09-02,14:26:59,02-09-2026,09:12:35 AM,United States Dollar,USD,93.37,93.37,93.03,92.84,null,96.28,96.28,96.85,96.75,96.61
2026-09-03,14:35:27,03-09-2026,01:09:29 PM,United States Dollar,USD,92.89,92.89,92.56,92.37,null,95.79,95.79,96.36,96.26,96.12
2026-09-04,14:28:49,04-09-2026,09:13:44 AM,United States Dollar,USD,92.9,92.9,92.57,92.38,null,95.8,95.8,96.36,96.27,96.13
2026-09-05,14:00:06,04-09-2026,09:13:44 AM,United States Dollar,USD,92.9,92.9,92.57,92.38,null,95.8,95.8,96.36,96.27,96.13
2026-09-07,15:05:19,07-09-2026,02:17:57 PM,United States Dollar,USD,92.89,92.89,92.56,92.37,null,95.79,95.79,96.35,96.26,96.12
2026-09-08,14:29:30,08-09-2026,09:14:06 AM,United States Dollar,USD,93.01,93.01,92.68,92.49,null,95.91,95.91,96.48,96.38,96.24
2026-09-09,14:35:16,09-09-2026,09:15:18 AM,United States Dollar,USD,93.29,93.29,92.96,92.77,null,96.2,96.2,96.77,96.68,96.53
2026-09-10,14:34:22,10-09-2026,09:15:21 AM,United States Dollar,USD,93.7,93.7,93.37,93.18,null,96.64,96.64,97.21,97.12,96.97
2026-09-11,14:31:57,11-09-2026,09:18:39 AM,United States Dollar,USD,94.16,94.16,93.82,93.63,null,97.1,97.1,97.67,97.58,97.43
2026-09-12,14:15:45,11-09-2026,09:18:39 AM,United States Dollar,USD,94.16,94.16,93.82,93.63,null,97.1,97.1,97.67,97.58,97.43
2026-09-14,15:33:18,11-09-2026,09:18:39 AM,United States Dollar,USD,94.16,94.16,93.82,93.63,null,97.1,97.1,97.67,97.58,97.43
2026-09-15,15:02:42,15-09-2026,09:12:12 AM,United States Dollar,USD,94.2,94.2,93.86,93.67,null,97.13,97.13,97.71,97.61,97.47
2026-09-16,14:55:50,16-09-2026,09:14:47 AM,United States Dollar,USD,94.29,94.29,93.95,93.76,null,97.22,97.22,97.8,97.7,97.56
2026-09-17,15:05:34,17-09-2026,09:30:09 AM,United States Dollar,USD,94.47,94.47,94.14,93.94,null,97.43,97.43,98.01,97.91,97.77
2026-09-18,14:37:54,18-09-2026,09:17:02 AM,United States Dollar,USD,94.1,94.1,93.77,93.58,null,97.06,97.06,97.63,97.54,97.4
2026-09-19,14:24:41,18-09-2026,09:17:02 AM,United States Dollar,USD,94.1,94.1,93.77,93.58,null,97.06,97.06,97.63,97.54,97.4
2026-09-21,15:38:34,21-09-2026,09:11:22 AM,United States Dollar,USD,94.24,94.24,93.9,93.71,null,97.2,97.2,97.77,97.68,97.53
2026-09-22,14:55:32,22-09-2026,09:15:47 AM,United States Dollar,USD,94.08,94.08,93.74,93.55,null,97.02,97.02,97.59,97.49,97.35
2026-09-23,14:56:17,23-09-2026,09:14:07 AM,United States Dollar,USD,94.01,94.01,93.68,93.49,null,96.95,96.95,97.52,97.42,97.28
2026-09-24,14:56:27,24-09-2026,09:15:17 AM,United States Dollar,USD,94.25,94.25,93.91,93.72,null,97.22,97.22,97.79,97.7,97.55
2026-09-25,15:14:06,25-09-2026,09:13:49 AM,United States Dollar,USD,94.3,94.3,93.96,93.77,null,97.26,97.26,97.83,97.73,97.59
