fetch_date,fetch_time,page_date,page_time,currency_name,currency_code,tt_buying,bills_buying,currency_notes_buying,forex_card_buying,demand_draft_buying,tt_selling,bills_selling,currency_notes_selling,forex_card_selling,demand_draft_selling
2026-08-24,22:53:17,24-08-2026,09:17:03 AM,South African Rand,ZAR,5.71,5.71,,5.71,,6.2,6.2,,6.23,
2026-08-24,23:05:57,24-08-2026,09:17:03 AM,South African Rand,ZAR,5.71,5.71,,5.71,,6.2,6.2,,6.23,
2026-08-25,10:35:56,25-08-2026,09:16:29 AM,South African Rand,ZAR,5.71,5.71,,5.71,,6.2,6.2,,6.23,
2026-08-26,10:35:51,25-08-2026,09:16:29 AM,South African Rand,ZAR,5.71,5.71,,5.71,,6.2,6.2,,6.23,
2026-08-27,19:08:53,27-08-2026,09:17:48 AM,South African Rand,ZAR,5.71,5.71,,5.71,,6.21,6.21,,6.24,
2026-08-28,22:20:27,28-08-2026,09:15:50 AM,South African Rand,ZAR,5.7,5.7,,5.7,,6.2,6.2,,6.23,
2026-08-29,16:47:55,28-08-2026,09:15:50 AM,South African Rand,ZAR,5.7,5.7,,5.7,,6.2,6.2,,6.23,
2026-08-31,16:33:28,31-08-2026,09:17:14 AM,South African Rand,ZAR,5.63,5.63,,5.63,,6.12,6.12,,6.15,
2026-09-01,15:02:41,01-09-2026,09:13:42 AM,South African Rand,ZAR,5.63,5.63,,5.63,,6.12,6.12,,6.15,
2026-09-02,14:26:59,02-09-2026,09:12:35 AM,South African Rand,ZAR,5.6,5.6,,5.6,,6.09,6.09,,6.12,
