fetch_date,fetch_time,page_date,page_time,currency_name,currency_code,tt_buying,bills_buying,currency_notes_buying,forex_card_buying,demand_draft_buying,tt_selling,bills_selling,currency_notes_selling,forex_card_selling,demand_draft_selling
2026-08-24,22:53:17,24-08-2026,09:17:03 AM,United States Dollar,USD,93.97,93.97,93.73,93.54,null,97.1,97.1,97.58,97.48,97.34
2026-08-24,22:53:17,24-08-2026,09:17:03 AM,Euro,EUR,109.15,109.15,108.65,109.15,null,114.1,114.1,114.83,114.1,114.1
2026-08-24,22:53:17,24-08-2026,09:17:03 AM,Great Britain Pound,GBP,127.27,127.27,127.4,127.53,null,133.96,133.96,133.7,133.11,133.05
2026-08-24,22:53:17,24-08-2026,09:17:03 AM,Australian Dollar,AUD,66.92,66.92,66.13,66.78,null,70.96,70.96,70.96,70.3,70.31
2026-08-24,22:53:17,24-08-2026,09:17:03 AM,Canadian Dollar,CAD,67.54,67.54,66.91,67.57,null,71.27,71.27,71.79,71.13,71.13
2026-08-24,22:53:17,24-08-2026,09:17:03 AM,Singapore Dollar,SGD,74.03,74.03,73.09,73.69,null,76.72,76.72,77.63,77.02,77.14
2026-08-24,22:53:17,24-08-2026,09:17:03 AM,Japanese Yen,JPY,58.56,58.56,57.47,58.56,,62.0,62.0,62.91,61.13,
2026-08-24,22:53:17,24-08-2026,09:17:03 AM,U.A.E Dirham,AED,25.23,25.23,25.12,25.02,,26.86,26.86,26.96,27.05,
2026-08-24,22:53:17,24-08-2026,09:17:03 AM,Swiss Franc,CHF,116.7,116.7,116.52,116.64,,122.43,122.43,122.55,122.07,
2026-08-24,22:53:17,24-08-2026,09:17:03 AM,Saudi Riyal,SAR,24.71,24.71,24.55,24.62,,26.27,26.27,26.42,26.34,
2026-08-24,22:53:17,24-08-2026,09:17:03 AM,Qatari Riyal,QAR,25.44,25.44,23.13,,,27.24,27.24,28.28,,
2026-08-24,22:53:17,24-08-2026,09:17:03 AM,Swedish Kronor,SEK,9.75,9.75,,9.75,,10.5,10.5,,10.45,
2026-08-24,22:53:17,24-08-2026,09:17:03 AM,Danish Kroner,DKK,14.41,14.41,,,,15.44,15.44,,,
2026-08-24,22:53:17,24-08-2026,09:17:03 AM,Norwegian Kroner,NOK,9.89,9.89,,,,10.69,10.69,,,
2026-08-24,22:53:17,24-08-2026,09:17:03 AM,New Zealand Dollar,NZD,55.78,55.78,,55.12,,58.86,58.86,,59.2,
2026-08-24,22:53:17,24-08-2026,09:17:03 AM,Hong Kong Dollar,HKD,11.85,11.85,11.47,11.81,,12.56,12.56,12.94,12.59,
2026-08-24,22:53:17,24-08-2026,09:17:03 AM,Kuwaiti Dinar,KWD,297.72,297.72,283.69,,,324.39,324.39,330.31,,
