fetch_date,fetch_time,page_date,page_time,currency_name,currency_code,tt_buying,bills_buying,currency_notes_buying,forex_card_buying,demand_draft_buying,tt_selling,bills_selling,currency_notes_selling,forex_card_selling,demand_draft_selling
2026-09-01,15:02:41,01-09-2026,09:13:42 AM,United States Dollar,USD,93.39,93.39,93.06,92.87,null,96.31,96.31,96.88,96.78,96.64
2026-09-01,15:02:41,01-09-2026,09:13:42 AM,Euro,EUR,107.69,107.69,107.19,107.69,null,112.57,112.57,113.29,112.57,112.57
2026-09-01,15:02:41,01-09-2026,09:13:42 AM,Great Britain Pound,GBP,125.38,125.38,125.51,125.64,null,131.98,131.98,131.72,131.14,131.08
2026-09-01,15:02:41,01-09-2026,09:13:42 AM,Australian Dollar,AUD,66.48,66.48,65.7,66.35,null,70.49,70.49,70.49,69.84,69.85
2026-09-01,15:02:41,01-09-2026,09:13:42 AM,Canadian Dollar,CAD,66.7,66.7,66.09,66.74,null,70.39,70.39,70.91,70.26,70.26
2026-09-01,15:02:41,01-09-2026,09:13:42 AM,Singapore Dollar,SGD,73.37,73.37,72.44,73.03,null,76.04,76.04,76.94,76.34,76.45
2026-09-01,15:02:41,01-09-2026,09:13:42 AM,Japanese Yen,JPY,57.82,57.82,56.75,57.82,,61.22,61.22,62.11,60.36,
2026-09-01,15:02:41,01-09-2026,09:13:42 AM,U.A.E Dirham,AED,25.05,25.05,24.95,24.84,,26.66,26.66,26.77,26.86,
2026-09-01,15:02:41,01-09-2026,09:13:42 AM,Swiss Franc,CHF,114.52,114.52,114.35,114.46,,120.13,120.13,120.25,119.78,
2026-09-01,15:02:41,01-09-2026,09:13:42 AM,Saudi Riyal,SAR,24.54,24.54,24.37,24.45,,26.08,26.08,26.23,26.16,
2026-09-01,15:02:41,01-09-2026,09:13:42 AM,Qatari Riyal,QAR,25.26,25.26,22.97,,,27.04,27.04,28.08,,
2026-09-01,15:02:41,01-09-2026,09:13:42 AM,Swedish Kronor,SEK,9.56,9.56,,9.56,,10.3,10.3,,10.25,
2026-09-01,15:02:41,01-09-2026,09:13:42 AM,Danish Kroner,DKK,14.21,14.21,,,,15.24,15.24,,,
2026-09-01,15:02:41,01-09-2026,09:13:42 AM,Norwegian Kroner,NOK,9.78,9.78,,,,10.57,10.57,,,
2026-09-01,15:02:41,01-09-2026,09:13:42 AM,New Zealand Dollar,NZD,54.79,54.79,,54.15,,57.82,57.82,,58.15,
2026-09-01,15:02:41,01-09-2026,09:13:42 AM,Hong Kong Dollar,HKD,11.76,11.76,11.39,11.73,,12.47,12.47,12.84,12.5,
2026-09-01,15:02:41,01-09-2026,09:13:42 AM,Kuwaiti Dinar,KWD,295.2,295.2,281.29,,,321.65,321.65,327.53,,
2026-09-01,15:02:41,01-09-2026,09:13:42 AM,Thai Baht,THB,2.77,2.77,2.67,2.76,,2.95,2.95,3.05,2.95,
2026-09-01,15:02:41,01-09-2026,09:13:42 AM,South African Rand,ZAR,5.63,5.63,,5.63,,6.12,6.12,,6.15,
2026-09-01,15:02:41,01-09-2026,09:13:42 AM,Omani Riyal,OMR,239.62,239.62,,,,254.23,254.23,,,
2026-09-01,15:02:41,01-09-2026,09:13:42 AM,Korean Won,KRW,0.0661,0.0661,,,,0.0724,0.0724,,,
2026-09-01,15:02:41,01-09-2026,09:13:42 AM,Chinese Yuan,CNH,13.49,13.49,,,,14.77,14.77,,,
2026-09-01,15:02:41,01-09-2026,09:13:42 AM,Poland Zloty,PLN,24.51,24.51,,,,26.33,26.33,,,
2026-09-01,15:02:41,01-09-2026,09:13:42 AM,Bahraini Dinar,BHD,243.95,243.95,,,,259.82,259.82,,,
2026-09-01,15:02:41,01-09-2026,09:13:42 AM,Malaysian Ringgit,MYR,22.46,22.46,,,,24.61,24.61,,,
